Chùa Sùng Phúc," Chùa Sùng Phúc được xây theo kiểu hình chữ Nhị, xung quanh xây tường đôi bằng gạch chịu lửa, tường xây theo kiểu bít đốc. Chùa có cổng tam quan và hậu cung được xây dựng theo kiến trúc thời nhà Lê, hoa văn trang trí tương đối đơn giản"
Chùa Sùng Phúc," Chùa hiện thờ đức Phật Quan Âm Bồ Tát, ở hậu cung có tượng Phật bà. Ngay khu bên trái thờ vị Thành Hoàng là ông Nguyễn Thành Vương, tức Nguyễn Đình Bá, quê ở thôn Bình Dân, phủ Khoái Châu, tỉnh Hưng Yên"
Chùa Sùng Phúc," Khi ông giữ chức Tri Châu Tư Lang, sử sách ghi nhận: Ông có công chiêu dân khẩn hoang lập bản được dân suy tôn là Tiên Công Thành Hoàng làng. Tiếp tục được sự tín nhiệm của quan trên và sự mến phục của nhân dân, ông đã giữ đến chức Đốc Đồng ở Cao Bằng"
Chùa Sùng Phúc," Đặc biệt, chùa còn thờ vi đồ Nguyễn Thị Duệ (người làng Kiệt Đặc, nay thuộc xã Văn An, huyện Chí Linh, tỉnh Hải Dương) - nữ tiến sĩ duy nhất trong lịch sử khoa cử phong kiến Việt Nam, đỗ đạt tại Trường Quốc học Bản Thảnh Cao Bằng (triều Mạc). Theo sử sách ghi lại, vào thời nhà Mạc, vua Mạc Kính Cung cho mở Trường Quốc học Bản Thánh (nay là Bản Thảnh) cứ ba năm một lần tổ chức thi hương, thi hội, thi đình"
Chùa Sùng Phúc," Liên tục qua 85 năm (1592 - 1677), Trường đã mở được 12 khoa thi, đào tạo được nhiều nhân tài, trong đó có nữ Tiến sĩ Nguyễn Thị Duệ. Khi còn nhỏ, bà Nguyễn Thị Duệ đã theo cha lên Cao Bằng"
Chùa Sùng Phúc," Vốn là người ham học, bà giả trai đổi tên thành Du, xin theo học thầy họ Cao cũng là người Hải Dương. Đến năm Bính Thìn (1616), mấy thầy trò cùng đi thi, kết quả thầy họ Cao đỗ thứ hai, còn bà đỗ đầu bảng"
Chùa Sùng Phúc," Sau khi đỗ đạt, bà được mời về cung tham dự yến tiệc chiêu đãi tân khoa. Trong yến tiệc, vua đã phát hiện bà là gái giả trai"
Chùa Sùng Phúc," Nhưng vì cảm mến trước tài đức của bà, nhà vua đã mời bà về ly cung Đống Lân để dạy học cho các hoàng tử, công chúa và kết duyên cùng bà, phong là Tinh Phi (Sao Sa). Năm 1625, vua Mạc Kính Cung bị tướng Trịnh Kiền của nhà Lê bắt và đưa về Thăng Long trị tội"
Chùa Sùng Phúc," Sau đó, bà Duệ đã chạy về Hạ Lang rồi xuất gia ở chùa Sùng Phúc,lấy pháp danh là Diệu Huyền, tên húy là Du, tên bản Huyền Du cũng được đặt theo tên bà. Trong thời gian ở chùa, bà thường dạy đạo lý và giảng về kinh Phật cho người dân vùng này"
Chùa Sùng Phúc,"Đến năm Tân Mùi (1631), biết tin bà ở Hạ Lang, chúa Trịnh Tráng đã đón bà về Thăng Long và phong cho chức Lễ Thi. Đến cuối đời, dù vua Lê và chúa Trịnh Tạc đều muốn giữ bà ở lại kinh sư, nhưng bà cương quyết từ chối, vì mong muốn về lại quê hương"
Chùa Sùng Phúc," Sau khi mất, mộ phần của bà được an táng tại quê nhà Hải Dương. Sau này để tưởng nhớ bà Duệ, người dân Hạ Lang (Cao Bằng)đã đúc tượng bà thờ trong chùa"
Chùa Sùng Phúc," Dưới thời vua Lê Hiển Tông, triều đình đã ban sắc phong cho khu liên phụng tự này và về sau ba triều vua nhà Nguyễn là: Duy Tân, Đồng Khánh, Khải Định cũng đều có sắc phong. Đây cũng là một điểm hiếm thấy ở các ngôi chùa trên dải đất Việt Nam"
Chùa Sùng Phúc," Hiện nay, trong chùa còn một tấm bia đá khắc dưới thời vua Lê Cảnh Hưng năm thứ 43. Tấm bia có nội dung bằng chữ Hán, ghi lại lịch sử và việc trùng tu chùa, truyền thống bảo vệ Tổ quốc cùng sự hiển linh chở che của vị thần bảo hộ đã đem lại cuộc sống ấm no thái bình cho nhân dân"
Chùa Sùng Phúc," Tấm bia đã được công nhậnlà di tích Lịch sử Văn hóa cấp Quốc gia tại Quyết định số 68 QĐ/BT ngày 29 tháng 01 năm 1993. Tính đến nay, chùa đã được tu bổ lại nhiều lần và hằng năm mở hội Tam Tổng vào các ngày 14, 15, 16 tháng Giêng Âm lịch"
Chùa Sùng Phúc," Vào ngày chính diễn ra lễ hội (ngày 15 tháng Giêng), nhân dân trong tỉnh và du khách thập phương đến trẩy hội rất đông vui. Lễ hội chùa Sùng Phúc rất phong phú với nhiều nội dung như: Nghi lễ dâng hương, tổ chức rước kiệu Quan Âm Bồ Tát, rước kiệu Thành Hoàng… Ngoài ra, lễ hội còn có màn múa rồng, múa sư tử, kỳ lân… và các trò chơi dân gian đặc trưng của địa phương"
Chùa Sùng Phúc," Không chỉ là nơithờ Phật và những người có công trên mảnh đất vùng biên ải, chùaSùng Phúccòn là nơi nhân dân tưởng nhớ, thờ phụng nữ Tiến sĩ Nguyễn Thị Duệ - một người phụ nữ tài đức trong xã hội phong kiến, bà chúa “Sao Sa” trong lòng nhân dân Việt Nam."
